tconst	averageRating	numVotes
tt0000319	5.7	314
tt0000321	4.8	253
tt0000328	5.6	17
tt0000335	5.8	59
tt0000337	4.9	393
tt0000340	4.9	351
tt0000341	4.9	411
tt0000344	5.0	11
tt0000346	4.7	256
tt0000347	4.4	129
tt0000349	5.4	154
tt0000350	5.7	808
tt0000352	5.4	68
tt0000353	5.1	402
tt0000355	6.2	843
tt0000357	5.8	546
tt0000358	6.2	830
tt0000359	7.1	3374
tt0000361	7.4	28
tt0000363	6.2	219
tt0000364	5.5	181
tt0000368	6.7	24
tt0000370	5.6	656
tt0000373	6.3	144
tt0000376	5.9	25
tt0000377	6.0	158
tt0000379	4.2	15
tt0000380	6.8	30
tt0000381	3.7	30
tt0000384	5.8	405
tt0000387	5.1	461
tt0000388	5.2	158
tt0000399	6.1	842
tt0000400	5.8	19
tt0000401	6.0	9
tt0000402	6.2	16
tt0000403	5.8	9
tt0000404	5.6	9
tt0000405	5.8	9
tt0000406	5.7	51
tt0000407	3.7	49
tt0000409	5.1	303
tt0000410	6.7	1145
tt0000412	4.5	33
tt0000413	5.5	542
tt0000414	5.4	851
tt0000415	5.0	10
tt0000416	5.4	225
tt0000417	8.1	58206
tt0000420	6.2	3026
tt0000422	5.0	11
tt0000423	5.5	278
tt0000425	4.9	28
tt0000426	4.0	24
tt0000430	5.8	751
tt0000432	5.7	269
tt0000436	6.1	573
tt0000437	5.1	328
tt0000439	7.2	21816
tt0000440	5.4	268
tt0000441	7.3	13
tt0000442	4.5	115
tt0000443	5.9	15
tt0000446	4.9	27
tt0000447	6.4	2838
tt0000451	6.5	1118
tt0000452	4.6	125
tt0000455	6.7	2005
tt0000456	4.0	69
tt0000459	4.4	83
tt0000460	4.6	19
tt0000463	7.2	11
tt0000464	4.8	516
tt0000465	7.3	1974
tt0000469	5.8	1212
tt0000471	5.2	559
tt0000472	6.2	26
tt0000479	5.2	433
tt0000480	5.0	234
tt0000481	5.2	9
tt0000487	6.8	578
tt0000488	6.9	933
tt0000491	3.8	73
tt0000492	4.8	159
tt0000495	5.9	138
tt0000496	5.7	80
tt0000497	5.2	98
tt0000498	6.6	1389
tt0000499	7.5	4238
tt0000500	3.8	20
tt0000501	4.7	57
tt0000502	3.8	21
tt0000505	6.2	35
tt0000506	4.8	11
tt0000507	3.5	64
tt0000509	5.6	56
tt0000511	6.0	54
tt0000512	4.4	76
tt0000515	4.7	121
tt0000516	6.5	1207
tt0000519	5.7	448
tt0000520	6.1	71
tt0000521	5.5	369
tt0000522	2.3	18
tt0000524	5.8	857
tt0000525	5.3	57
tt0000526	4.1	73
tt0000528	5.5	20
tt0000533	4.6	51
tt0000534	6.6	1366
tt0000535	4.8	77
tt0000537	4.3	101
tt0000542	6.2	8
tt0000543	4.4	20
tt0000544	4.7	9
tt0000546	6.7	2081
tt0000548	4.5	10
tt0000550	3.3	16
tt0000552	5.6	79
tt0000553	6.5	578
tt0000554	6.2	1578
tt0000555	5.0	26
tt0000557	4.6	152
tt0000561	4.9	74
tt0000565	6.2	712
tt0000567	6.8	1488
tt0000570	3.9	62
tt0000571	6.7	75
tt0000574	6.0	978
tt0000575	5.7	613
tt0000576	6.0	262
tt0000578	7.2	30
tt0000580	4.2	8
tt0000581	4.3	14
tt0000582	4.7	803
tt0000583	5.3	60
tt0000584	5.0	95
tt0000586	5.9	28
tt0000588	4.4	13
tt0000591	5.6	31
tt0000594	5.4	22
tt0000595	5.2	20
tt0000596	4.9	27
tt0000597	5.0	82
tt0000598	5.2	40
tt0000599	3.9	17
tt0000601	5.8	15
tt0000602	4.2	273
tt0000603	4.6	16
tt0000606	7.5	19
tt0000608	5.8	28
tt0000609	4.8	23
tt0000610	4.9	24
tt0000611	4.5	23
tt0000613	4.3	15
tt0000614	6.5	1307
tt0000615	4.3	28
tt0000617	4.9	45
tt0000618	8.5	18
tt0000621	6.5	657
tt0000623	4.3	10
tt0000626	5.4	15
tt0000627	5.9	65
tt0000628	5.7	985
tt0000629	5.9	86
tt0000630	3.2	33
tt0000631	2.0	12
tt0000632	4.9	67
tt0000634	3.9	30
tt0000636	4.5	22
tt0000637	5.5	832
tt0000638	5.1	92
tt0000639	4.9	103
tt0000640	4.3	159
tt0000641	4.6	195
tt0000642	5.5	71
tt0000643	6.0	22
tt0000644	5.5	65
tt0000645	5.0	202
tt0000648	4.6	190
tt0000650	7.8	25
tt0000651	4.8	83
tt0000653	4.5	244
tt0000654	4.8	130
tt0000658	6.4	311
tt0000659	4.8	87
tt0000660	5.7	63
tt0000661	7.8	25
tt0000662	4.3	73
tt0000663	5.7	63
tt0000665	6.0	65
tt0000666	5.5	34
tt0000668	6.6	63
tt0000669	4.9	175
tt0000671	5.8	18
tt0000672	6.6	48
tt0000673	5.7	17
tt0000674	4.7	58
tt0000675	4.3	23
tt0000676	3.7	19
tt0000677	6.4	24
tt0000679	5.2	78
tt0000680	5.5	55
tt0000681	5.7	45
tt0000682	6.9	3041
tt0000683	5.6	98
tt0000684	5.0	143
tt0000685	5.9	49
tt0000689	6.5	60
tt0000690	6.5	47
tt0000692	5.4	8
tt0000694	5.8	56
tt0000695	6.0	58
tt0000697	4.9	34
tt0000698	6.2	29
tt0000699	6.3	28
tt0000700	5.0	84
tt0000703	5.0	20
tt0000704	5.5	63
tt0000706	5.6	33
tt0000707	4.7	29
tt0000708	4.4	48
tt0000709	5.5	77
tt0000711	4.3	27
tt0000712	5.3	23
tt0000713	5.7	27
tt0000714	3.8	12
tt0000715	4.8	15
tt0000717	5.7	26
tt0000720	6.8	22
tt0000721	5.0	15
tt0000722	4.8	14
tt0000724	5.2	47
tt0000725	4.0	26
tt0000727	6.0	22
tt0000728	5.8	147
tt0000730	5.9	78
tt0000731	5.4	27
tt0000732	5.0	13
tt0000733	6.2	34
tt0000734	4.0	18
tt0000736	3.7	18
tt0000737	4.7	40
tt0000738	7.9	23
tt0000739	6.3	19
tt0000740	5.8	22
tt0000741	5.6	31
tt0000743	6.8	18
tt0000744	5.0	13
tt0000746	7.8	20
tt0000747	5.8	36
tt0000748	6.1	31
tt0000749	5.8	903
tt0000750	5.3	18
tt0000752	5.1	154
tt0000754	6.9	79
tt0000755	5.7	244
tt0000756	5.2	159
tt0000757	5.4	16
tt0000758	5.8	33
tt0000759	6.8	15
tt0000760	4.8	11
tt0000762	5.7	47
tt0000764	5.5	155
tt0000765	5.7	18
tt0000767	6.9	26
tt0000768	5.8	12
tt0000769	5.2	189
tt0000770	5.4	184
